DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2010,18022,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2011,19528,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2012,21409,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2013,23616,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2014,26775,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2015,29246,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2016,32404,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2017,35682,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,SERVICES: Services,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,2018,39312,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,_T: Total,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,1996,9202,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
KH_NIS:DF_NA(1.1),GDP_AT_CURRENT_PRICES_BY_SECTOR: GDP at Current Prices by Sector,ASIKHM: Cambodia,_Z: NA,_Z: NA,_T: Total,_Z: NA,_Z: NA,KHR: Cambodian Riels,A: Annual,1997,10145,9: Billions,MOP_NIS: Ministry of Planning,"ds_econ_72: MoP, NIS_National Accounts, Bulletin"
