DATAFLOW,INDICATOR: Indicator,REF_AREA: Reference area,LOCATION: Degree of Urbanisation,DEPOSIT: Deposit,ECONOMIC_SECTOR: Economic Sector,PAYMENT_RATIO_TYPE: Payment Ratio Type,EXPENDITURE: Expenditure,UNIT_MEASURE: Unit of measure,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,UNIT_MULTIPLIER: Unit multiplier,RESPONSIBLE_AGENCY: Responsible agency,DATA_SOURCE: Data source
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2002,7.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2003,10.5,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2004,15.7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2005,20.1,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2006,15.9,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2007,17.4,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2008,19.8,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2009,2.6,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2010,9.3,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_74: MoP, NIS_National Accounts, Bulletin_2012"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2011,10.7,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_75: MoP, NIS_National Accounts, Bulletin_2013"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2012,8.9,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_75: MoP, NIS_National Accounts, Bulletin_2013"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2013,8.2,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_76: MoP, NIS_National Accounts, Bulletin_2014"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2014,10,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_77: MoP, NIS_National Accounts, Bulletin_2015"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2015,8.9,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_78: MoP, NIS_National Accounts, Bulletin_2016"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2016,10.6,0: Units,MOP_NIS: Ministry of Planning,"ds_econ_79: MoP, NIS_National Accounts, Bulletin_2017"
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2017,10.6,0: Units,MOP_NIS: Ministry of Planning,
KH_NIS:DF_NA(1.1),ANNUAL_GDP_GROWTH_RATE_AT_CURRENT_PRICES: Annual GDP Growth Rate at Current Prices,ASIKHM: Cambodia,_Z: NA,_Z: NA,_Z: NA,_Z: NA,_Z: NA,PERCENT: Percent,A: Annual,2018,10.8,0: Units,MOP_NIS: Ministry of Planning,
